Code,smiles,MW,LogP,NumHDonors,NumHAcceptors
CHAL,CC1=C(C(=O)/C=C/c2ccccc2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,418.4740000000001,3.573900000000002,3.0,5.0
CHAL,COc1ccc(/C=C/C(=O)C2=C(C)NC(=S)NC2c2cccc3c(O)cc(=O)oc23)cc1,448.50000000000017,3.5825000000000014,3.0,6.0
CHAL,CC1=C(C(=O)/C=C/C=C/c2ccccc2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,444.51200000000017,4.130100000000003,3.0,5.0
CHAL,CC1=C(C(=O)/C=C/c2ccccc2N(O)O)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,465.48700000000014,3.1587000000000005,5.0,8.0
CHAL,CC1=C(C(=O)/C=C/c2ccc(O)cc2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,434.4730000000001,3.2795000000000014,4.0,6.0
CHAL,C=C1NC(C)=C(C(=O)/C=C/c2ccc(N(O)O)cc2)C(c2cccc3c(O)cc(=O)oc23)N1,447.4470000000002,3.3450000000000006,5.0,9.0
CHAL,CC1=C(C(=O)/C=C/c2ccc(N(C)C)cc2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,461.5430000000001,3.6399000000000017,3.0,6.0
CHAL,CC1=C(C(=O)/C=C/c2ccccc2O)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,434.4730000000001,3.2795000000000014,4.0,6.0
CHAL,CC1=C(C(=O)/C=C/c2cccc(O)c2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,434.4730000000001,3.2795000000000005,4.0,6.0
CHAL,CC1=C(C(=O)/C=C/c2cccc(N(O)O)c2)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,465.48700000000014,3.1587000000000005,5.0,8.0
CHAL,CC1=C(C(=O)/C=C/c2ccccc2Cl)C(c2cccc3c(O)cc(=O)oc23)NC(=S)N1,452.91900000000015,4.227300000000002,3.0,5.0
CHAL,COc1cc(/C=C/C(=O)C2=C(C)NC(=S)NC2c2cccc3c(O)cc(=O)oc23)cc(OC)c1OC,508.55200000000036,3.599700000000002,3.0,8.0
CHAL,O=C(CCc1ccc2c(c1)OCO2)c1ccccc1,254.285,3.2308000000000012,0.0,3.0
CHAL,CCc1ccc(/C=C/C(=O)c2ccccc2)cc1.O,254.32899999999998,3.320400000000003,0.0,1.0
CHAL,O=C(/C=C/c1c[nH]c2ccccc12)c1ccccc1,247.29700000000003,4.064000000000003,1.0,1.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,268.31199999999995,3.5999000000000025,0.0,3.0
CHAL,COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1,328.36400000000003,3.6171000000000024,0.0,5.0
CHAL,COc1cc(C(=O)/C=C/c2ccc3c(c2)OCO3)cc(OC)c1OC,342.3470000000001,3.337200000000002,0.0,6.0
CHAL,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(/N=N\N2CCOCC2)cc1,355.8250000000002,4.567000000000005,0.0,4.0
CHAL,O=C(/C=C/c1cccc(Cl)c1)c1ccc(/N=N\N2CCOCC2)cc1,355.8250000000002,4.567000000000005,0.0,4.0
CHAL,O=C(/C=C/c1ccccc1Cl)c1ccc(/N=N\N2CCOCC2)cc1,355.8250000000002,4.567000000000005,0.0,4.0
CHAL,O=C(/C=C/c1cccc(N(O)O)c1)c1ccc(/N=N\N2CCOCC2)cc1,368.3930000000002,3.498400000000003,2.0,7.0
CHAL,O=C(/C=C/c1ccccc1N(O)O)c1ccc(/N=N\N2CCOCC2)cc1,368.3930000000002,3.498400000000002,2.0,7.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(/N=N\N3CCOCC3)cc2)cc1,351.40600000000006,3.922200000000003,0.0,5.0
CHAL,COc1ccc(/C=C/C(=O)c2ccc(/N=N\N3CCOCC3)cc2)cc1OC,381.43200000000013,3.930800000000003,0.0,6.0
CHAL,Cc1ccc(/C=C/C(=O)c2ccc(/N=N\N3CCOCC3)cc2)cc1,335.4070000000001,4.222020000000003,0.0,4.0
